model,mode,window,return_pct,win_rate,pf,trades,avg_win,avg_loss,max_loss,max_win
random_forest,original,train_2016-2019_test_2020,95.84,27.3,3.29,22,23.88,-2.89,-8.43,80.77
random_forest,original,train_2017-2020_test_2021,103.54,36.8,1.47,38,10.53,-3.32,-14.28,45.77
random_forest,original,train_2018-2021_test_2022,-35.22,15.4,0.31,26,5.91,-2.86,-12.46,15.62
random_forest,original,train_2019-2022_test_2023,49.05,23.5,1.25,51,10.62,-2.2,-11.54,29.89
random_forest,original,train_2020-2023_test_2024,-30.07,10.5,0.73,38,9.08,-1.47,-5.24,16.14
random_forest,original,train_2021-2024_test_2025,95.07,21.6,2.51,51,16.62,-1.67,-8.74,87.16
random_forest,v3,train_2016-2019_test_2020,72.28,38.5,7.48,26,16.94,-1.49,-4.36,80.77
random_forest,v3,train_2017-2020_test_2021,111.15,54.2,5.38,48,10.75,-1.97,-4.39,45.77
random_forest,v3,train_2018-2021_test_2022,-37.93,25.9,1.1,27,5.41,-1.49,-4.82,15.62
random_forest,v3,train_2019-2022_test_2023,8.73,34.5,2.37,55,8.55,-1.66,-4.39,26.42
random_forest,v3,train_2020-2023_test_2024,-18.41,36.6,2.35,41,7.06,-1.65,-5.24,18.45
random_forest,v3,train_2021-2024_test_2025,89.71,35.8,3.74,53,12.04,-1.57,-4.78,71.27
random_forest,v4,train_2016-2019_test_2020,102.47,52.4,24.33,21,37.71,-1.42,-4.36,66.67
random_forest,v4,train_2017-2020_test_2021,88.48,55.3,7.07,38,26.62,-2.64,-7.01,68.03
random_forest,v4,train_2018-2021_test_2022,-31.97,36.0,5.89,25,26.63,-1.75,-5.95,58.39
random_forest,v4,train_2019-2022_test_2023,22.37,43.8,5.94,48,20.56,-2.02,-6.18,62.76
random_forest,v4,train_2020-2023_test_2024,-32.83,48.6,7.68,35,25.59,-2.11,-5.24,58.95
random_forest,v4,train_2021-2024_test_2025,75.13,38.1,9.48,42,31.94,-1.58,-4.78,110.75
xgboost,original,train_2016-2019_test_2020,107.66,25.9,3.89,27,21.62,-2.16,-8.43,80.77
xgboost,original,train_2017-2020_test_2021,21.78,26.0,1.11,50,11.73,-3.15,-12.28,51.37
xgboost,original,train_2018-2021_test_2022,-45.94,9.7,0.2,31,4.97,-2.24,-8.36,7.63
xgboost,original,train_2019-2022_test_2023,41.93,23.3,1.39,60,9.06,-1.76,-8.43,31.98
xgboost,original,train_2020-2023_test_2024,-34.93,13.2,0.5,53,5.11,-1.55,-11.33,16.14
xgboost,original,train_2021-2024_test_2025,29.82,17.5,2.29,63,12.84,-1.0,-8.74,87.16
xgboost,v3,train_2016-2019_test_2020,105.4,48.0,9.98,25,14.6,-1.53,-4.36,80.77
xgboost,v3,train_2017-2020_test_2021,0.22,41.8,3.43,55,11.05,-1.97,-5.13,51.37
xgboost,v3,train_2018-2021_test_2022,-45.22,26.7,0.79,30,3.73,-1.5,-3.93,8.23
xgboost,v3,train_2019-2022_test_2023,0.58,32.8,2.37,61,7.78,-1.44,-4.39,27.26
xgboost,v3,train_2020-2023_test_2024,-35.95,36.7,1.89,49,5.02,-1.41,-4.59,16.14
xgboost,v3,train_2021-2024_test_2025,12.23,31.7,3.2,63,8.02,-0.98,-4.68,71.27
xgboost,v4,train_2016-2019_test_2020,117.52,59.1,23.5,22,36.45,-1.89,-4.36,66.67
xgboost,v4,train_2017-2020_test_2021,79.85,50.0,8.03,42,31.45,-2.42,-7.1,79.92
xgboost,v4,train_2018-2021_test_2022,-45.83,37.0,4.38,27,27.11,-2.36,-7.53,48.37
xgboost,v4,train_2019-2022_test_2023,39.85,47.2,7.8,53,20.51,-1.72,-6.23,60.88
xgboost,v4,train_2020-2023_test_2024,-28.76,42.9,7.31,42,24.19,-1.77,-6.79,58.95
xgboost,v4,train_2021-2024_test_2025,10.29,46.7,16.34,45,28.49,-1.08,-4.49,110.75
lightgbm,original,train_2016-2019_test_2020,112.59,29.6,3.28,27,19.39,-2.85,-8.43,80.77
lightgbm,original,train_2017-2020_test_2021,107.27,32.0,1.84,50,11.92,-2.51,-12.28,74.9
lightgbm,original,train_2018-2021_test_2022,-51.46,13.3,0.21,30,3.75,-2.35,-7.38,7.63
lightgbm,original,train_2019-2022_test_2023,18.4,27.7,1.17,65,7.13,-2.06,-8.43,31.98
lightgbm,original,train_2020-2023_test_2024,-44.36,7.4,0.48,54,8.87,-1.51,-11.33,16.14
lightgbm,original,train_2021-2024_test_2025,41.76,18.3,2.28,60,13.62,-1.15,-8.74,87.16
lightgbm,v3,train_2016-2019_test_2020,61.74,46.4,7.99,28,12.31,-1.44,-4.36,80.77
lightgbm,v3,train_2017-2020_test_2021,70.52,53.8,6.22,52,10.84,-1.65,-5.13,74.9
lightgbm,v3,train_2018-2021_test_2022,-49.9,22.6,0.54,31,3.56,-1.61,-3.93,8.23
lightgbm,v3,train_2019-2022_test_2023,-8.07,38.5,2.4,65,6.39,-1.49,-4.39,24.52
lightgbm,v3,train_2020-2023_test_2024,-45.76,28.0,1.48,50,5.57,-1.35,-4.59,16.14
lightgbm,v3,train_2021-2024_test_2025,20.81,35.6,3.12,59,8.23,-1.23,-4.78,71.27
lightgbm,v4,train_2016-2019_test_2020,102.45,52.0,22.21,25,35.98,-1.48,-4.36,66.67
lightgbm,v4,train_2017-2020_test_2021,120.89,62.5,12.41,40,25.6,-1.83,-6.48,79.92
lightgbm,v4,train_2018-2021_test_2022,-49.65,29.6,2.78,27,27.47,-2.75,-7.38,48.37
lightgbm,v4,train_2019-2022_test_2023,11.59,48.1,6.1,54,17.7,-2.03,-7.78,60.88
lightgbm,v4,train_2020-2023_test_2024,-35.41,46.3,9.86,41,26.78,-1.63,-6.79,58.95
lightgbm,v4,train_2021-2024_test_2025,22.05,46.5,13.3,43,28.18,-1.31,-4.78,110.75
